FullClassPath,AntiPattern
k9mail.src.main.java.com.fsck.k9.service.CoreReceiver,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.service.CoreReceiver,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.service.CoreReceiver,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.MessagingException,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.MessagingException,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.MessagingException,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.activity.SimpleDialog,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.activity.SimpleDialog,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.activity.SimpleDialog,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.helper.MergeCursor,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.helper.MergeCursor,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.helper.MergeCursor,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.preferences.ThemeSetting,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.preferences.ThemeSetting,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.preferences.ThemeSetting,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.NegativeSmtpReplyException,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.NegativeSmtpReplyException,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.NegativeSmtpReplyException,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.view.RigidWebView,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.view.RigidWebView,BaseClassShouldBeAbstract
k9mail.src.main.java.com.fsck.k9.view.RigidWebView,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapList,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapList,BaseClassShouldBeAbstract
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapList,BaseClassShouldBeAbstract
