FullClassPath,AntiPattern
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapResponseParser,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapList,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.AttachErrorState,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.SendErrorState,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientPresenter,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.CryptoProviderState,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.CryptoMode,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Capabilities,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Folder,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.ConnectionInfo,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStore,Blob
k9mail.src.main.java.com.fsck.k9.mailstore.LocalFolder,Blob
k9mail.src.main.java.com.fsck.k9.mailstore.PartContainer,Blob
k9mail.src.main.java.com.fsck.k9.mailstore.PreferencesHolder,Blob
k9mail.src.main.java.com.fsck.k9.mailstore.ThreadInfo,Blob
k9mail.src.main.java.com.fsck.k9.activity.MessageCompose,Blob
k9mail.src.main.java.com.fsck.k9.activity.Action,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.FetchProfile,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.FolderType,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.FolderClass,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.Folder,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.Flag,Blob
k9mail.src.main.java.com.fsck.k9.search.Attribute,Blob
k9mail.src.main.java.com.fsck.k9.search.SearchField,Blob
k9mail.src.main.java.com.fsck.k9.search.LocalSearch,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.NegativeSmtpReplyException,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.CommandResponse,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.SmtpTransport,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapList,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,Blob
k9mail.src.main.java.com.fsck.k9.view.MessageCryptoDisplayStatus,Blob
k9mail.src.main.java.com.fsck.k9.view.MessageHeader,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientMvpView,Blob
k9mail.src.main.java.com.fsck.k9.activity.compose.CryptoStatusDisplayType,Blob
k9mail.src.main.java.com.fsck.k9.view.RecipientSelectView,Blob
k9mail.src.main.java.com.fsck.k9.view.Recipient,Blob
k9mail.src.main.java.com.fsck.k9.notification.NotificationContent,Blob
k9mail.src.main.java.com.fsck.k9.notification.NotificationData,Blob
k9mail.src.main.java.com.fsck.k9.notification.NotificationHolder,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapCommandSplitter,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.GroupedIds,Blob
k9mail.src.main.java.com.fsck.k9.Expunge,Blob
k9mail.src.main.java.com.fsck.k9.SortType,Blob
k9mail.src.main.java.com.fsck.k9.Identity,Blob
k9mail.src.main.java.com.fsck.k9.MessageFormat,Blob
k9mail.src.main.java.com.fsck.k9.Account,Blob
k9mail.src.main.java.com.fsck.k9.QuoteStyle,Blob
k9mail.src.main.java.com.fsck.k9.Searchable,Blob
k9mail.src.main.java.com.fsck.k9.FolderMode,Blob
k9mail.src.main.java.com.fsck.k9.NotificationSetting,Blob
k9mail.src.main.java.com.fsck.k9.ShowPictures,Blob
k9mail.src.main.java.com.fsck.k9.AccountStats,Blob
k9mail.src.main.java.com.fsck.k9.SortType,Blob
k9mail.src.main.java.com.fsck.k9.Theme,Blob
k9mail.src.main.java.com.fsck.k9.NotificationHideSubject,Blob
k9mail.src.main.java.com.fsck.k9.NotificationQuickDelete,Blob
k9mail.src.main.java.com.fsck.k9.K9,Blob
k9mail.src.main.java.com.fsck.k9.LockScreenNotificationVisibility,Blob
k9mail.src.main.java.com.fsck.k9.BACKGROUND,Blob
k9mail.src.main.java.com.fsck.k9.FontSizes,Blob
k9mail.src.main.java.com.fsck.k9.SplitViewMode,Blob
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSetupBasics,Blob
k9mail.src.main.java.com.fsck.k9.activity.setup.Provider,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.Message,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.RecipientType,Blob
k9mail-library.src.main.java.com.fsck.k9.mail.Flag,Blob
k9mail.src.main.java.com.fsck.k9.mailstore.CryptoError,Blob
k9mail.src.main.java.com.fsck.k9.mailstore.CryptoResultAnnotation,Blob
k9mail.src.main.java.com.fsck.k9.fragment.FolderOperation,Blob
k9mail.src.main.java.com.fsck.k9.fragment.MessageListFragment,Blob
k9mail.src.main.java.com.fsck.k9.message.MessageBuilder,Blob
k9mail.src.main.java.com.fsck.k9.message.SimpleMessageFormat,Blob
k9mail.src.main.java.com.fsck.k9.message.QuotedTextMode,Blob
k9mail.src.main.java.com.fsck.k9.message.SimpleMessageFormat,Blob
k9mail.src.main.java.com.fsck.k9.message.QuotedTextMode,Blob
k9mail.src.main.java.com.fsck.k9.message.IdentityHeaderBuilder,Blob
