FullClassPath,AntiPattern
k9mail.src.main.java.com.fsck.k9.controller.Command,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.setup.Provider,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.search.ConditionsTreeNode,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.FolderInfoHolder,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.preferences.ImportedSettings,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.preferences.ImportedFolder,ClassDataShouldBePrivate
k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Capabilities,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.preferences.ImportedIdentity,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.controller.PendingCommand,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.MessageInfoHolder,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.fragment.MessageViewHolder,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.view.HeaderEntry,ClassDataShouldBePrivate
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.HttpGeneric,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.preferences.ImportedServer,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.compose.AccountHolder,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.mailstore.SynchronizationAid,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.preferences.Imported,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.compose.IdentityHolder,ClassDataShouldBePrivate
k9mail-library.src.main.java.com.fsck.k9.mail.power.TracingPowerManager,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.setup.SpinnerOption,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.MessageCompose,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.fragment.FooterViewHolder,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.preferences.ImportedAccount,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.K9,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.AccountStats,ClassDataShouldBePrivate
k9mail-library.src.main.java.com.fsck.k9.mail.K9MailLib,ClassDataShouldBePrivate
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.ConnectionInfo,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.activity.FolderViewHolder,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.mailstore.migrations.OldPendingCommand,ClassDataShouldBePrivate
k9mail.src.main.java.com.fsck.k9.view.Recipient,ClassDataShouldBePrivate
