FullClassPath,AntiPattern
k9mail.src.main.java.com.fsck.k9.activity.ActivityListener,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.Folder,ComplexClass
k9mail.src.main.java.com.fsck.k9.mailstore.LocalStore,ComplexClass
k9mail.src.main.java.com.fsck.k9.ui.messageview.MessageContainerView,ComplexClass
k9mail.src.main.java.com.fsck.k9.K9,ComplexClass
k9mail.src.main.java.com.fsck.k9.message.IdentityHeaderBuilder,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.NewMailNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSettings,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavFolder,ComplexClass
k9mail.src.main.java.com.fsck.k9.view.MessageHeader,ComplexClass
k9mail.src.main.java.com.fsck.k9.ui.crypto.MessageCryptoHelper,ComplexClass
k9mail.src.main.java.com.fsck.k9.helper.MergeCursor,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.NotificationController,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSetupIncoming,ComplexClass
k9mail.src.main.java.com.fsck.k9.preferences.SettingsExporter,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStore,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.LockScreenNotification,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.NotificationActionCreator,ComplexClass
k9mail.src.main.java.com.fsck.k9.ui.messageview.MessageTopView,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.DeviceNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.message.html.HtmlConverter,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.Accounts,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.BaseNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.WearNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.Account,ComplexClass
k9mail.src.main.java.com.fsck.k9.remotecontrol.K9RemoteControl,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapConnection,ComplexClass
k9mail.src.main.java.com.fsck.k9.Intents,ComplexClass
k9mail.src.main.java.com.fsck.k9.controller.MessagingController,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientLoader,ComplexClass
k9mail.src.main.java.com.fsck.k9.Account,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.AuthenticationErrorNotifications,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.StatusCodeDetail,ComplexClass
k9mail.src.main.java.com.fsck.k9.search.LocalSearch,ComplexClass
k9mail.src.main.java.com.fsck.k9.provider.MonitoredCursor,ComplexClass
k9mail.src.main.java.com.fsck.k9.ui.compose.QuotedMessagePresenter,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.Message,ComplexClass
k9mail.src.main.java.com.fsck.k9.view.RecipientSelectView,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.SmtpTransport,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.NotificationDeleteConfirmation,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientMvpView,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSetupCheckSettings,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.filter.Base64,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Store,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.FolderList,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSetupBasics,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.MessageCompose,ComplexClass
k9mail.src.main.java.com.fsck.k9.ui.messageview.MessageViewFragment,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.SliderPreference,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.SendFailedNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.SyncNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.service.MailService,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.NotificationController,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSetupOutgoing,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.CertificateErrorNotifications,ComplexClass
k9mail.src.main.java.com.fsck.k9.mailstore.LocalFolder,ComplexClass
k9mail.src.main.java.com.fsck.k9.message.MessageBuilder,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.AccountSetupBasics,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientPresenter,ComplexClass
k9mail.src.main.java.com.fsck.k9.provider.EmailProvider,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapResponseParser,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapConnection,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.Prefs,ComplexClass
k9mail.src.main.java.com.fsck.k9.controller.SimpleMessagingListener,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Folder,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapStore,ComplexClass
k9mail.src.main.java.com.fsck.k9.fragment.MessageListFragment,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.MessageList,ComplexClass
k9mail.src.main.java.com.fsck.k9.mailstore.CryptoResultAnnotation,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.MessageLoaderHelper,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.NotificationData,ComplexClass
k9mail.src.main.java.com.fsck.k9.FontSizes,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.compose.AttachmentPresenter,ComplexClass
k9mail.src.main.java.com.fsck.k9.activity.setup.FontSizeSettings,ComplexClass
k9mail-library.src.main.java.com.fsck.k9.mail.internet.MimeMessage,ComplexClass
k9mail.src.main.java.com.fsck.k9.notification.NotificationActionService,ComplexClass
k9mail.src.main.java.com.fsck.k9.mailstore.LocalStore,ComplexClass
k9mail.src.main.java.com.fsck.k9.mailstore.LocalMessage,ComplexClass
