FullClassPath,AntiPattern
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStoreSettings,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.AccountsQueryHandler,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.UnreadQueryHandler,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.SetPasswordsAsyncTask,LongParameterList
k9mail.src.main.java.com.fsck.k9.ui.messageview.MessageContainerView,LongParameterList
k9mail.src.main.java.com.fsck.k9.SortType,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.ServerSettings,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.MessageList,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.ConfirmationDialog,LongParameterList
k9mail.src.main.java.com.fsck.k9.message.RecipientAutocryptStatusType,LongParameterList
k9mail.src.main.java.com.fsck.k9.preferences.SettingsImporter,LongParameterList
k9mail.src.main.java.com.fsck.k9.mailstore.CryptoResultAnnotation,LongParameterList
k9mail.src.main.java.com.fsck.k9.view.Recipient,LongParameterList
k9mail.src.main.java.com.fsck.k9.fragment.MessageListFragment,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.AttachmentProvider,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.MessageProvider,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientPresenter,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapStoreSettings,LongParameterList
k9mail.src.main.java.com.fsck.k9.notification.NotificationController,LongParameterList
k9mail.src.main.java.com.fsck.k9.message.PgpMessageBuilder,LongParameterList
k9mail.src.main.java.com.fsck.k9.widget.list.MailItem,LongParameterList
k9mail.src.main.java.com.fsck.k9.mailstore.AttachmentViewInfo,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.EmailProvider,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.EnhancedNegativeSmtpReplyException,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.compose.SaveMessageTask,LongParameterList
k9mail.src.main.java.com.fsck.k9.fragment.ConfirmationDialogFragment,LongParameterList
k9mail.src.main.java.com.fsck.k9.helper.MessageHelper,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.ThrottlingQueryHandler,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.misc.Attachment,LongParameterList
k9mail.src.main.java.com.fsck.k9.ui.messageview.CryptoInfoDialog,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapConnection,LongParameterList
k9mail.src.main.java.com.fsck.k9.mailstore.ThreadInfo,LongParameterList
k9mail.src.main.java.com.fsck.k9.notification.NotificationContent,LongParameterList
k9mail.src.main.java.com.fsck.k9.mailstore.migrations.MigrationTo51,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,LongParameterList
k9mail.src.main.java.com.fsck.k9.provider.MessagesQueryHandler,LongParameterList
k9mail.src.main.java.com.fsck.k9.mailstore.MessageViewInfo,LongParameterList
k9mail.src.main.java.com.fsck.k9.helper.MailTo,LongParameterList
k9mail.src.main.java.com.fsck.k9.message.quote.TextQuoteCreator,LongParameterList
k9mail.src.main.java.com.fsck.k9.notification.NotificationActionCreator,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStore,LongParameterList
k9mail.src.main.java.com.fsck.k9.controller.PendingMoveOrCopy,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.SendMessageTask,LongParameterList
k9mail.src.main.java.com.fsck.k9.activity.ImportAsyncTask,LongParameterList
k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavSocketFactory,LongParameterList
k9mail.src.main.java.com.fsck.k9.controller.MessagingController,LongParameterList
k9mail.src.main.java.com.fsck.k9.Throttle,LongParameterList
