,FullClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
0,k9mail.src.main.java.com.fsck.k9.controller.SimpleMessagingListener,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,k9mail.src.main.java.com.fsck.k9.mailstore.BinaryAttachmentBody,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,k9mail.src.main.java.com.fsck.k9.activity.K9PreferenceActivity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStoreSettings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,k9mail.src.main.java.com.fsck.k9.provider.AccountsQueryHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,k9mail.src.main.java.com.fsck.k9.provider.UnreadQueryHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,k9mail.src.main.java.com.fsck.k9.activity.SetPasswordsAsyncTask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,k9mail.src.main.java.com.fsck.k9.ui.messageview.MessageContainerView,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,k9mail.src.main.java.com.fsck.k9.SortType,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,k9mail-library.src.main.java.com.fsck.k9.mail.ServerSettings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,k9mail.src.main.java.com.fsck.k9.activity.MessageList,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,k9mail.src.main.java.com.fsck.k9.activity.ConfirmationDialog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,k9mail.src.main.java.com.fsck.k9.message.RecipientAutocryptStatusType,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,k9mail.src.main.java.com.fsck.k9.preferences.SettingsImporter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,k9mail.src.main.java.com.fsck.k9.mailstore.CryptoResultAnnotation,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,k9mail.src.main.java.com.fsck.k9.view.Recipient,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
16,k9mail.src.main.java.com.fsck.k9.fragment.MessageListFragment,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17,k9mail.src.main.java.com.fsck.k9.provider.AttachmentProvider,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,k9mail.src.main.java.com.fsck.k9.provider.MessageProvider,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientPresenter,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapStoreSettings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,k9mail.src.main.java.com.fsck.k9.notification.NotificationController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,k9mail.src.main.java.com.fsck.k9.message.PgpMessageBuilder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,k9mail.src.main.java.com.fsck.k9.widget.list.MailItem,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,k9mail.src.main.java.com.fsck.k9.mailstore.AttachmentViewInfo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,k9mail.src.main.java.com.fsck.k9.provider.EmailProvider,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.EnhancedNegativeSmtpReplyException,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,k9mail.src.main.java.com.fsck.k9.activity.compose.SaveMessageTask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,k9mail.src.main.java.com.fsck.k9.fragment.ConfirmationDialogFragment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,k9mail.src.main.java.com.fsck.k9.helper.MessageHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,k9mail.src.main.java.com.fsck.k9.provider.ThrottlingQueryHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,k9mail.src.main.java.com.fsck.k9.activity.misc.Attachment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,k9mail.src.main.java.com.fsck.k9.ui.messageview.CryptoInfoDialog,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapConnection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,k9mail.src.main.java.com.fsck.k9.mailstore.ThreadInfo,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,k9mail.src.main.java.com.fsck.k9.notification.NotificationContent,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,k9mail.src.main.java.com.fsck.k9.mailstore.migrations.MigrationTo51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapFolder,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
38,k9mail.src.main.java.com.fsck.k9.provider.MessagesQueryHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,k9mail.src.main.java.com.fsck.k9.mailstore.MessageViewInfo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,k9mail.src.main.java.com.fsck.k9.helper.MailTo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,k9mail.src.main.java.com.fsck.k9.message.quote.TextQuoteCreator,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,k9mail.src.main.java.com.fsck.k9.notification.NotificationActionCreator,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavStore,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
44,k9mail.src.main.java.com.fsck.k9.controller.PendingMoveOrCopy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,k9mail.src.main.java.com.fsck.k9.activity.SendMessageTask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,k9mail.src.main.java.com.fsck.k9.activity.ImportAsyncTask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.WebDavSocketFactory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,k9mail.src.main.java.com.fsck.k9.controller.MessagingController,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,k9mail.src.main.java.com.fsck.k9.Throttle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,k9mail.src.main.java.com.fsck.k9.service.CoreReceiver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,k9mail-library.src.main.java.com.fsck.k9.mail.MessagingException,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,k9mail.src.main.java.com.fsck.k9.activity.SimpleDialog,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,k9mail.src.main.java.com.fsck.k9.helper.MergeCursor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,k9mail.src.main.java.com.fsck.k9.preferences.ThemeSetting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.NegativeSmtpReplyException,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
56,k9mail.src.main.java.com.fsck.k9.view.RigidWebView,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapList,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
58,k9mail.src.main.java.com.fsck.k9.controller.Command,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,k9mail.src.main.java.com.fsck.k9.activity.setup.Provider,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
60,k9mail.src.main.java.com.fsck.k9.search.ConditionsTreeNode,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,k9mail.src.main.java.com.fsck.k9.activity.FolderInfoHolder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,k9mail.src.main.java.com.fsck.k9.preferences.ImportedSettings,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,k9mail.src.main.java.com.fsck.k9.preferences.ImportedFolder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Capabilities,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
65,k9mail.src.main.java.com.fsck.k9.preferences.ImportedIdentity,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,k9mail.src.main.java.com.fsck.k9.controller.PendingCommand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,k9mail.src.main.java.com.fsck.k9.activity.MessageInfoHolder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,k9mail.src.main.java.com.fsck.k9.fragment.MessageViewHolder,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
69,k9mail.src.main.java.com.fsck.k9.view.HeaderEntry,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.HttpGeneric,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,k9mail.src.main.java.com.fsck.k9.preferences.ImportedServer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,k9mail.src.main.java.com.fsck.k9.activity.compose.AccountHolder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,k9mail.src.main.java.com.fsck.k9.mailstore.SynchronizationAid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,k9mail.src.main.java.com.fsck.k9.preferences.Imported,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,k9mail.src.main.java.com.fsck.k9.activity.compose.IdentityHolder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,k9mail-library.src.main.java.com.fsck.k9.mail.power.TracingPowerManager,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
77,k9mail.src.main.java.com.fsck.k9.activity.setup.SpinnerOption,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,k9mail.src.main.java.com.fsck.k9.activity.MessageCompose,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
79,k9mail.src.main.java.com.fsck.k9.fragment.FooterViewHolder,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,k9mail.src.main.java.com.fsck.k9.preferences.ImportedAccount,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,k9mail.src.main.java.com.fsck.k9.K9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
82,k9mail.src.main.java.com.fsck.k9.AccountStats,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
83,k9mail-library.src.main.java.com.fsck.k9.mail.K9MailLib,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
84,k9mail-library.src.main.java.com.fsck.k9.mail.store.webdav.ConnectionInfo,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
85,k9mail.src.main.java.com.fsck.k9.activity.FolderViewHolder,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
86,k9mail.src.main.java.com.fsck.k9.mailstore.migrations.OldPendingCommand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapResponseParser,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
88,k9mail.src.main.java.com.fsck.k9.activity.compose.AttachErrorState,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,k9mail.src.main.java.com.fsck.k9.activity.compose.SendErrorState,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,k9mail.src.main.java.com.fsck.k9.activity.compose.CryptoProviderState,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,k9mail.src.main.java.com.fsck.k9.activity.compose.CryptoMode,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,k9mail-library.src.main.java.com.fsck.k9.mail.store.pop3.Pop3Folder,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
93,k9mail.src.main.java.com.fsck.k9.mailstore.LocalFolder,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
94,k9mail.src.main.java.com.fsck.k9.mailstore.PartContainer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,k9mail.src.main.java.com.fsck.k9.mailstore.PreferencesHolder,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,k9mail.src.main.java.com.fsck.k9.activity.Action,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,k9mail-library.src.main.java.com.fsck.k9.mail.FetchProfile,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,k9mail-library.src.main.java.com.fsck.k9.mail.FolderType,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,k9mail-library.src.main.java.com.fsck.k9.mail.FolderClass,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,k9mail-library.src.main.java.com.fsck.k9.mail.Folder,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
101,k9mail-library.src.main.java.com.fsck.k9.mail.Flag,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,k9mail.src.main.java.com.fsck.k9.search.Attribute,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,k9mail.src.main.java.com.fsck.k9.search.SearchField,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,k9mail.src.main.java.com.fsck.k9.search.LocalSearch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
105,k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.CommandResponse,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,k9mail-library.src.main.java.com.fsck.k9.mail.transport.smtp.SmtpTransport,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
107,k9mail.src.main.java.com.fsck.k9.view.MessageCryptoDisplayStatus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,k9mail.src.main.java.com.fsck.k9.view.MessageHeader,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
109,k9mail.src.main.java.com.fsck.k9.activity.compose.RecipientMvpView,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
110,k9mail.src.main.java.com.fsck.k9.activity.compose.CryptoStatusDisplayType,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,k9mail.src.main.java.com.fsck.k9.view.RecipientSelectView,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
112,k9mail.src.main.java.com.fsck.k9.notification.NotificationData,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
113,k9mail.src.main.java.com.fsck.k9.notification.NotificationHolder,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.ImapCommandSplitter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,k9mail-library.src.main.java.com.fsck.k9.mail.store.imap.GroupedIds,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
